Abrevations,Citynames
AGR,Agra
AGX,Agatti
AJL,Lengpui
AMD,Ahmedabad
ATQ,Amritsar
AYJ,Ayodhya
BBI,Bhubeneshwar
BDQ,Vadodara
BEK,Bareilly
BHO,Bhopal
BLR,Bengaluru
BOM,Mumbai
CCJ,Malappuram
CCU,Kolkata
CDP,Kadapa
CJB,Coimbatore
CNN,Kannur
COK,Kochi
DBR,Darbhanga
DED,Dehradun
DEL,Delhi
DGH,Deoghar
DHM,Kangra
DIB,Dibrugarh
DIU,Diu
DMU,Dimapur
GAU,Guwahati
GAY,Gaya
GDB,Gondia
GOI,Dabolim
GOP,Gorakhpur
GOX,Mopa
GWL,Gwalior
HBX,Hubli
HGI,Itanagar
HJR,Khajuraho
HSR,Rajkot
HYD,Hyderabad
IDR,Indore
IMF,Imphal
ISK,Nashik
IXA,Agartala
IXB,Siliguri
IXC,Chandigarh
IXD,Prayagraj
IXE,Mangaluru
IXG,Belgavi
IXJ,Jammu
IXL,Leh
IXM,Madurai
IXR,Ranchi
IXS,Sichar
ISU,Aurangabad
IXZ,Port Blair
JAI,Jaipur
JDH,Jodhpur
JGB,Jagdalpur
JLR,Javalpur
JRG,Jharsuguda
JRH,Jorhat
JSA,Jaisalmer
KJB,Kurnool
KLH,Kolhapur
KNU,Kanpur
LKO,Lucknow
MAA,Chennai
MYQ,Mysuru
NAG,Nagpur
PAT,Patna
PGH,Pantnagar
PNQ,Pune
RAG,Rajkot
RDP,Durgapur
RJA,Rajahmundry
RPR,Raipur
RQY,Shivamogga
SAG,Shirdi
SHL,Shillong
STV,Surat
SXR,Srinagar
SXV,Salem
TCR,Thoothukkudi
TIR,Tirupati
TRV,Thiruvananthapuram
TRZ,Tiruchirappalli
UDR,Udaipur
VGA,Vijayawada
VNS,Varanasi
VTZ,Visakhapatnam
